regimen,acat,all_tb,all_ae,tst_tb,tst_ae
none,0-17,"53.3 (37.3,66.5)"," 0.0 ( 0.0, 0.0)","53.3 (37.3,66.5)"," 0.0 ( 0.0, 0.0)"
none,18-34," 8.9 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"," 8.9 ( 6.5,10.8)"," 0.0 ( 0.0, 0.0)"
none,35-64," 8.8 ( 6.6,10.7)"," 0.0 ( 0.0, 0.0)"," 8.8 ( 6.6,10.7)"," 0.0 ( 0.0, 0.0)"
none,65+," 8.8 ( 6.5,10.7)"," 0.0 ( 0.0, 0.0)"," 8.8 ( 6.5,10.7)"," 0.0 ( 0.0, 0.0)"
6H,0-17,"23.3 (15.2,29.2)"," 2.5 ( 0.7, 3.5)","33.4 (22.8,41.6)"," 0.6 ( 0.2, 0.9)"
6H,18-34," 3.7 ( 2.6, 4.5)","15.4 (13.1,17.5)"," 5.4 ( 3.9, 6.5)"," 3.9 ( 3.3, 4.4)"
6H,35-64," 3.7 ( 2.7, 4.6)","28.1 (25.2,30.8)"," 5.4 ( 4.0, 6.5)"," 7.0 ( 6.3, 7.7)"
6H,65+," 3.9 ( 2.7, 4.7)","55.1 (40.0,67.6)"," 5.5 ( 4.0, 6.7)","13.8 (10.0,16.9)"
4R,0-17,"21.0 (12.9,26.7)"," 3.0 ( 0.9, 4.2)","31.9 (21.3,39.7)"," 0.7 ( 0.2, 1.0)"
4R,18-34," 3.3 ( 2.2, 4.0)"," 8.8 ( 7.0,10.3)"," 5.1 ( 3.6, 6.2)"," 2.2 ( 1.7, 2.6)"
4R,35-64," 3.3 ( 2.2, 4.1)"," 9.0 ( 7.3,10.5)"," 5.1 ( 3.6, 6.3)"," 2.3 ( 1.8, 2.6)"
4R,65+," 3.4 ( 2.2, 4.1)","23.1 (12.0,30.9)"," 5.1 ( 3.6, 6.3)"," 5.8 ( 3.0, 7.7)"
3HP,0-17,"14.9 ( 8.8,18.8)"," 5.6 ( 2.9, 7.4)","27.7 (18.2,34.9)"," 1.4 ( 0.7, 1.9)"
3HP,18-34," 2.4 ( 1.5, 3.0)","20.3 (17.6,22.6)"," 4.5 ( 3.2, 5.5)"," 5.1 ( 4.4, 5.7)"
3HP,35-64," 2.5 ( 1.6, 3.1)","41.8 (38.6,44.9)"," 4.6 ( 3.2, 5.6)","10.5 ( 9.7,11.2)"
3HP,65+," 2.8 ( 1.9, 3.4)","84.0 (67.0,98.7)"," 4.8 ( 3.4, 5.8)","21.0 (16.7,24.7)"
