regimen,acat,all_tb,all_ae,tst_tb,tst_ae
none,0-17,"83.7 (55.3,107.3)"," 0.0 ( 0.0, 0.0)","83.7 (55.3,107.3)"," 0.0 ( 0.0, 0.0)"
none,18-34,"13.9 ( 9.7, 17.2)"," 0.0 ( 0.0, 0.0)","13.9 ( 9.7, 17.2)"," 0.0 ( 0.0, 0.0)"
none,35-64,"13.9 ( 9.8, 17.3)"," 0.0 ( 0.0, 0.0)","13.9 ( 9.8, 17.3)"," 0.0 ( 0.0, 0.0)"
none,65+,"14.0 ( 9.9, 17.2)"," 0.0 ( 0.0, 0.0)","14.0 ( 9.9, 17.2)"," 0.0 ( 0.0, 0.0)"
6H,0-17,"36.9 (22.3, 47.2)"," 2.5 ( 0.7, 3.5)","43.7 (28.6, 54.8)"," 1.3 ( 0.4, 1.7)"
6H,18-34," 5.7 ( 3.8,  7.1)","15.4 (13.0,17.5)"," 6.9 ( 4.8,  8.4)"," 7.7 ( 6.5, 8.8)"
6H,35-64," 5.9 ( 4.0,  7.3)","28.0 (25.2,30.7)"," 7.0 ( 5.0,  8.6)","14.0 (12.6,15.3)"
6H,65+," 6.1 ( 4.1,  7.6)","55.1 (39.8,67.2)"," 7.2 ( 5.1,  8.8)","27.5 (19.9,33.6)"
4R,0-17,"33.4 (18.5, 42.7)"," 3.0 ( 0.8, 4.1)","40.6 (25.2, 50.9)"," 1.5 ( 0.4, 2.1)"
4R,18-34," 5.1 ( 3.1,  6.4)"," 8.8 ( 7.0,10.3)"," 6.3 ( 4.2,  7.8)"," 4.4 ( 3.5, 5.2)"
4R,35-64," 5.2 ( 3.2,  6.6)"," 9.0 ( 7.3,10.5)"," 6.5 ( 4.3,  7.9)"," 4.5 ( 3.7, 5.2)"
4R,65+," 5.3 ( 3.3,  6.5)","22.9 (12.3,30.4)"," 6.5 ( 4.4,  7.9)","11.5 ( 6.1,15.2)"
3HP,0-17,"23.8 (12.6, 30.4)"," 5.6 ( 2.9, 7.4)","32.3 (20.0, 40.5)"," 2.8 ( 1.4, 3.7)"
3HP,18-34," 3.8 ( 2.2,  4.7)","20.3 (17.7,22.8)"," 5.1 ( 3.5,  6.2)","10.2 ( 8.9,11.4)"
3HP,35-64," 4.0 ( 2.4,  5.0)","41.8 (38.6,44.9)"," 5.4 ( 3.6,  6.6)","20.9 (19.3,22.4)"
3HP,65+," 4.4 ( 2.8,  5.4)","83.8 (66.6,98.8)"," 5.7 ( 3.9,  6.9)","41.9 (33.3,49.4)"
