acat,qty,regimen,LTBI,mid,lo,hi
0-17,AE,3HP,10 %,0.00501575632474657,0.00672648411214571,0.00261063118476021
0-17,AE,4R,10 %,0.00270294984462645,0.00375233664307954,0.000760506921478645
0-17,AE,6H,10 %,0.00226249362797265,0.00313883298168025,0.000655513144782703
0-17,TB,3HP,10 %,-0.015329455772685,-0.00643319864191622,-0.0221218794089381
0-17,TB,4R,10 %,-0.0130710554092565,-0.00414079438220476,-0.0200513550519165
0-17,TB,6H,10 %,-0.0122609276366183,-0.00325703552027317,-0.0194368949656235
18-34,AE,3HP,10 %,0.0182357528791748,0.0203724793335071,0.0158880259993833
18-34,AE,4R,10 %,0.0078485180663138,0.0092173059677712,0.00625224753282695
18-34,AE,6H,10 %,0.0138808546380914,0.0157597842048833,0.0117230943183806
18-34,TB,3HP,10 %,-0.00255035578130121,-0.00117282941033658,-0.00360095491758258
18-34,TB,4R,10 %,-0.00220202998018075,-0.000851451673304026,-0.00330986207771235
18-34,TB,6H,10 %,-0.00203201701174639,-0.000643781417890417,-0.00312171902328147
35-64,AE,3HP,10 %,0.0377272184394205,0.0404428349268734,0.0348235997957497
35-64,AE,4R,10 %,0.00813688372432743,0.00944029487064225,0.0065590793906583
35-64,AE,6H,10 %,0.0251987684621489,0.0275550833922096,0.022647308853818
35-64,TB,3HP,10 %,-0.00252650600395077,-0.00114782101501158,-0.00355723245631125
35-64,TB,4R,10 %,-0.00223368154645969,-0.000841592206012225,-0.00333526410716908
35-64,TB,6H,10 %,-0.00204362811011073,-0.000636977058063913,-0.00312074629822487
65+,AE,3HP,10 %,0.0754548439383172,0.0887798636166731,0.0602203140916709
65+,AE,4R,10 %,0.0208550494689608,0.0277803236611564,0.0110221087754663
65+,AE,6H,10 %,0.0493212630873486,0.0606102569537795,0.0356820716699962
65+,TB,3HP,10 %,-0.0024065082894117,-0.00104977810526609,-0.00343969756996372
65+,TB,4R,10 %,-0.00219282605418773,-0.000824260201706247,-0.00327769352692139
65+,TB,6H,10 %,-0.00198517623805726,-0.000592656773474593,-0.00310849520088906
0-17,AE,3HP,25 %,0.0041797969372888,0.00560540342678809,0.00217552598730018
0-17,AE,4R,25 %,0.00225245820385537,0.00312694720256628,0.000633755767898871
0-17,AE,6H,25 %,0.00188541135664387,0.00261569415140021,0.000546260953985586
0-17,TB,3HP,25 %,-0.0127745464772375,-0.00536099886826351,-0.0184348995074484
0-17,TB,4R,25 %,-0.0108925461743804,-0.00345066198517063,-0.0167094625432638
0-17,TB,6H,25 %,-0.0102174396971819,-0.00271419626689431,-0.0161974124713529
18-34,AE,3HP,25 %,0.0151964607326457,0.0169770661112559,0.0132400216661528
18-34,AE,4R,25 %,0.00654043172192817,0.007681088306476,0.00521020627735579
18-34,AE,6H,25 %,0.0115673788650762,0.0131331535040694,0.00976924526531717
18-34,TB,3HP,25 %,-0.00212529648441767,-0.000977357841947147,-0.00300079576465215
18-34,TB,4R,25 %,-0.00183502498348396,-0.000709543061086688,-0.00275821839809363
18-34,TB,6H,25 %,-0.00169334750978866,-0.000536484514908681,-0.00260143251940122
35-64,AE,3HP,25 %,0.0314393486995171,0.0337023624390611,0.0290196664964581
35-64,AE,4R,25 %,0.00678073643693952,0.00786691239220188,0.00546589949221525
35-64,AE,6H,25 %,0.0209989737184574,0.022962569493508,0.0188727573781817
35-64,TB,3HP,25 %,-0.00210542166995897,-0.000956517512509647,-0.00296436038025938
35-64,TB,4R,25 %,-0.00186140128871641,-0.000701326838343521,-0.00277938675597423
35-64,TB,6H,25 %,-0.00170302342509227,-0.000530814215053261,-0.00260062191518739
65+,AE,3HP,25 %,0.0628790366152643,0.0739832196805609,0.0501835950763924
65+,AE,4R,25 %,0.0173792078908006,0.0231502697176304,0.00918509064622192
65+,AE,6H,25 %,0.0411010525727905,0.0505085474614829,0.0297350597249968
65+,TB,3HP,25 %,-0.00200542357450975,-0.000874815087721744,-0.00286641464163643
65+,TB,4R,25 %,-0.00182735504515644,-0.000686883501421873,-0.00273141127243449
65+,TB,6H,25 %,-0.00165431353171438,-0.00049388064456216,-0.00259041266740755
0-17,AE,3HP,50 %,0.00278653129152587,0.00373693561785873,0.00145035065820012
0-17,AE,4R,50 %,0.00150163880257025,0.00208463146837752,0.000422503845265914
0-17,AE,6H,50 %,0.00125694090442925,0.00174379610093347,0.000364173969323724
0-17,TB,3HP,50 %,-0.00851636431815834,-0.00357399924550901,-0.0122899330049656
0-17,TB,4R,50 %,-0.00726169744958695,-0.00230044132344709,-0.0111396416955092
0-17,TB,6H,50 %,-0.00681162646478796,-0.00180946417792954,-0.0107982749809019
18-34,AE,3HP,50 %,0.0101309738217638,0.0113180440741706,0.00882668111076853
18-34,AE,4R,50 %,0.00436028781461878,0.00512072553765067,0.00347347085157053
18-34,AE,6H,50 %,0.00771158591005079,0.00875543566937961,0.00651283017687812
18-34,TB,3HP,50 %,-0.00141686432294512,-0.000651571894631432,-0.0020005305097681
18-34,TB,4R,50 %,-0.00122334998898931,-0.000473028707391125,-0.00183881226539575
18-34,TB,6H,50 %,-0.00112889833985911,-0.000357656343272453,-0.00173428834626748
35-64,AE,3HP,50 %,0.0209595657996781,0.0224682416260407,0.019346444330972
35-64,AE,4R,50 %,0.00452049095795968,0.00524460826146792,0.00364393299481017
35-64,AE,6H,50 %,0.013999315812305,0.0153083796623387,0.0125818382521211
35-64,TB,3HP,50 %,-0.00140361444663932,-0.000637678341673098,-0.00197624025350625
35-64,TB,4R,50 %,-0.00124093419247761,-0.000467551225562347,-0.00185292450398282
35-64,TB,6H,50 %,-0.00113534895006151,-0.00035387614336884,-0.00173374794345826
65+,AE,3HP,50 %,0.0419193577435095,0.0493221464537073,0.0334557300509283
65+,AE,4R,50 %,0.0115861385938671,0.0154335131450869,0.00612339376414795
65+,AE,6H,50 %,0.0274007017151937,0.0336723649743219,0.0198233731499979
65+,TB,3HP,50 %,-0.00133694904967317,-0.000583210058481162,-0.00191094309442429
65+,TB,4R,50 %,-0.00121823669677096,-0.000457922334281249,-0.00182094084828966
65+,TB,6H,50 %,-0.00110287568780959,-0.000329253763041441,-0.0017269417782717
0-17,AE,3HP,75 %,0.00139326564576294,0.00186846780892936,0.000725175329100059
0-17,AE,4R,75 %,0.000750819401285124,0.00104231573418876,0.000211251922632957
0-17,AE,6H,75 %,0.000628470452214625,0.000871898050466735,0.000182086984661862
0-17,TB,3HP,75 %,-0.00425818215907917,-0.00178699962275451,-0.0061449665024828
0-17,TB,4R,75 %,-0.00363084872479348,-0.00115022066172354,-0.00556982084775459
0-17,TB,6H,75 %,-0.00340581323239398,-0.000904732088964768,-0.00539913749045096
18-34,AE,3HP,75 %,0.0050654869108819,0.00565902203708531,0.00441334055538426
18-34,AE,4R,75 %,0.00218014390730939,0.00256036276882533,0.00173673542578526
18-34,AE,6H,75 %,0.00385579295502539,0.0043777178346898,0.00325641508843906
18-34,TB,3HP,75 %,-0.000708432161472558,-0.000325785947315716,-0.00100026525488405
18-34,TB,4R,75 %,-0.000611674994494653,-0.000236514353695562,-0.000919406132697876
